model,c_v,c_uci,c_npmi,unique_words_ratio,avg_jaccard_distance,n_topics
BERTopic_Female,0.5001806503210319,-0.07909329162998169,-0.015274284218694726,0.24736842105263157,0.755776748593543,19
BERTopic_Male,0.5029509497502362,-0.14754571482726758,-0.016866424297227543,0.265,0.7797698928992721,20
